Activity_type,Material_type,completion_node,Student id,local_date,Lesson title,Attempt,Score,Lesson_category,Lesson_type,Lesson_type_name,Total time (sec),Grade Gap,ADT Score,Proficiency Level
INSTRUCTIONAL_LESSON,CORE,FALSE,3402201,19/01/2026,Rational Numbers - Explore and Learn,3,33,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,96,-4,377,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3392147,20/01/2026,The Coordinate Plane - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,47,1,642,Above level
INSTRUCTIONAL_LESSON,CORE,FALSE,3402255,20/01/2026,The Coordinate Plane - Explore and Learn,1,,INSTRUCTIONAL_LESSON,EX_LE,Explore & Learn,76,-4,331,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3392375,20/01/2026,Graph Reflections of Points - Explore and Learn,1,,INSTRUCTIONAL_LESSON,EX_LE,Explore & Learn,62,-2,493,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3402405,20/01/2026,The Coordinate Plane - Explore and Learn,1,,INSTRUCTIONAL_LESSON,SL,Second Look,8,-2,471,Approaching
INSTRUCTIONAL_LESSON,CORE,TRUE,3392339,22/01/2026,The Coordinate Plane - Explore and Learn,1,100,INSTRUCTIONAL_LESSON,SA,Assessment,128,-4,321,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3330792,22/01/2026,Compare and Order Integers - Explore and Learn,1,,INSTRUCTIONAL_LESSON,SL,Second Look,8,-4,391,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3398871,22/01/2026,The Coordinate Plane - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,131,-3,410,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3392075,26/01/2026,Absolute Value and Distance - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,26,-4,323,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3392303,27/01/2026,Powers and Exponents - Explore,1,,INSTRUCTIONAL_LESSON,Video,Video,46,-5,302,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3392147,27/01/2026,Powers and Exponents - Explore,1,,INSTRUCTIONAL_LESSON,Video,Video,61,1,642,Above level
INSTRUCTIONAL_LESSON,CORE,FALSE,3330666,01/02/2026,Graph Reflections of Points - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,900,-4,366,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3330666,01/02/2026,Graph Reflections of Points - Explore and Learn,3,75,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,126,-4,366,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3392033,02/02/2026,Numerical Expressions - Explore,1,,INSTRUCTIONAL_LESSON,Video,Video,22,3,734,Above level
INSTRUCTIONAL_LESSON,CORE,FALSE,3330864,02/02/2026,Powers and Exponents - Explore,1,,INSTRUCTIONAL_LESSON,DOK,Learn,54,-2,478,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3398871,02/02/2026,Numerical Expressions - Explore,1,,INSTRUCTIONAL_LESSON,Video,Video,71,-3,410,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3392135,04/02/2026,Writing Algebraic Expressions - Learn,1,,INSTRUCTIONAL_LESSON,Learn,Learn,46,-2,529,Approaching
INSTRUCTIONAL_LESSON,CORE,TRUE,3402219,03/04/2026,Graphs of Relationships - Exit Ticket,1,80,INSTRUCTIONAL_LESSON,ET,Exit Ticket,312,,,
INSTRUCTIONAL_LESSON,CORE,TRUE,3330594,06/04/2026,Area of Parallelograms - Exit Ticket,1,80,INSTRUCTIONAL_LESSON,ET,Exit Ticket,239,3,733,Above level
INSTRUCTIONAL_LESSON,CORE,TRUE,3392339,06/04/2026,Area of Parallelograms,1,67,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,235,-4,321,Below
INSTRUCTIONAL_LESSON,CORE,TRUE,3402255,06/04/2026,Graph a Relationship from an Equation,3,67,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,62,-4,331,Below
EXPERIENTIAL_LESSON,CORE,TRUE,3402255,07/04/2026,Area of Parallelograms - Simulation,1,,EXPERIENTIAL_LESSON,SIM,Simulation,2,-4,331,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3398871,08/04/2026,Area of Triangles,1,,INSTRUCTIONAL_LESSON,HTML,Lesson,151,-3,410,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3425793,08/04/2026,Area of Triangles,1,,INSTRUCTIONAL_LESSON,HTML,Lesson,55,-2,477,Approaching
INSTRUCTIONAL_LESSON,CORE,TRUE,3398871,09/04/2026,Area of Triangles - Exit Ticket ,1,40,INSTRUCTIONAL_LESSON,ET,Exit Ticket,196,-3,410,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3392327,10/04/2026,Decompose or Compose Area of Trapezoids,1,,INSTRUCTIONAL_LESSON,HTML,Lesson,36,-1,546,Approaching
INSTRUCTIONAL_LESSON,CORE,TRUE,3330594,12/04/2026,Two-Step Equations,1,100,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,162,3,733,Above level
INSTRUCTIONAL_LESSON,CORE,TRUE,3392453,15/04/2026,Area of Regular Polygons - Exit Ticket,1,100,INSTRUCTIONAL_LESSON,ET,Exit Ticket,256,6,826,Above level
INSTRUCTIONAL_LESSON,CORE,FALSE,3330888,29/08/2025,Understanding Ratios -Explore,1,,INSTRUCTIONAL_LESSON,Unlock,Unlock,900,0,623,On Grade Level
INSTRUCTIONAL_LESSON,CORE,FALSE,3330684,31/08/2025,Understanding Ratios-Learn,1,100,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,148,,,
INSTRUCTIONAL_LESSON,CORE,FALSE,3392453,01/09/2025,Understanding Ratios-Learn,1,,INSTRUCTIONAL_LESSON,Learn,Learn,900,6,826,Above level
INSTRUCTIONAL_LESSON,CORE,FALSE,3402351,02/09/2025,Understanding Tables of Equivalent Ratios-Explore,1,,INSTRUCTIONAL_LESSON,DOK,Learn,74,-2,473,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3392033,02/09/2025,Understanding Ratios-Learn,2,50,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,350,3,734,Above level
INSTRUCTIONAL_LESSON,CORE,FALSE,3402225,07/09/2025,Understanding Tables of Equivalent Ratios-Explore,1,,INSTRUCTIONAL_LESSON,Video,Video,900,0,592,On Grade Level
INSTRUCTIONAL_LESSON,CORE,TRUE,3330666,09/09/2025,Understanding Ratios-Learn,1,100,INSTRUCTIONAL_LESSON,SA,Assessment,189,-4,366,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3330726,09/09/2025,Understanding Tables of Equivalent Ratios-Explore,1,,INSTRUCTIONAL_LESSON,DOK,Learn,100,-2,482,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3402405,09/09/2025,Compare Ratio Relationships - Learn,1,,INSTRUCTIONAL_LESSON,Learn,Learn,106,-2,471,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3392135,09/09/2025,Compare Ratio Relationships - Learn,1,,INSTRUCTIONAL_LESSON,Learn,Learn,50,-2,529,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3330684,09/09/2025,Graphs of Equivalent Ratios - Explore,1,,INSTRUCTIONAL_LESSON,DOK,Learn,107,,,
INSTRUCTIONAL_LESSON,CORE,FALSE,3392339,09/09/2025,Compare Ratio Relationships - Learn,1,75,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,900,-4,321,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3402219,06/01/2026,Represent Integers  - Explore and Learn,1,,INSTRUCTIONAL_LESSON,EX_LE,Explore & Learn,46,,,
INSTRUCTIONAL_LESSON,CORE,FALSE,3425793,06/01/2026,Represent Integers  - Explore and Learn,1,,INSTRUCTIONAL_LESSON,EX_LE,Explore & Learn,51,-2,477,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3402405,06/01/2026,Represent Integers  - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,41,-2,471,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3392147,06/01/2026,Represent Integers  - Explore and Learn,2,100,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,24,1,642,Above level
INSTRUCTIONAL_LESSON,CORE,FALSE,3401127,06/01/2026,Represent Integers  - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,182,,,
INSTRUCTIONAL_LESSON,CORE,FALSE,3331014,06/01/2026,Represent Integers  - Explore and Learn,2,100,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,168,-5,256,Below
INSTRUCTIONAL_LESSON,CORE,TRUE,3392261,07/01/2026,Opposites and Absolute Value - Explore and Learn,1,33,INSTRUCTIONAL_LESSON,SA,Assessment,42,-3,432,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3402351,08/01/2026,Represent Integers  - Explore and Learn,2,100,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,24,-2,473,Approaching
INSTRUCTIONAL_LESSON,CORE,TRUE,3402255,11/01/2026,Represent Integers  - Explore and Learn,1,100,INSTRUCTIONAL_LESSON,SA,Assessment,316,-4,331,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3392231,12/01/2026,Compare and Order Integers - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,36,1,646,Above level
INSTRUCTIONAL_LESSON,CORE,FALSE,3425793,12/01/2026,Compare and Order Integers - Explore and Learn,1,,INSTRUCTIONAL_LESSON,EX_LE,Explore & Learn,54,-2,477,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3392231,12/01/2026,Compare and Order Integers - Explore and Learn,1,,INSTRUCTIONAL_LESSON,SL,Second Look,7,1,646,Above level
INSTRUCTIONAL_LESSON,CORE,FALSE,3402225,12/01/2026,Compare and Order Integers - Explore and Learn,1,,INSTRUCTIONAL_LESSON,SL,Second Look,32,0,592,On Grade Level
INSTRUCTIONAL_LESSON,CORE,FALSE,3392339,12/01/2026,Compare and Order Integers - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,80,-4,321,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3402255,12/01/2026,Compare and Order Integers - Explore and Learn,3,67,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,130,-4,331,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3392303,13/01/2026,Rational Numbers - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,900,-5,302,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3392327,13/01/2026,Rational Numbers - Explore and Learn,1,67,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,175,-1,546,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3392327,13/01/2026,Rational Numbers - Explore and Learn,1,,INSTRUCTIONAL_LESSON,SL,Second Look,10,-1,546,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3330666,14/01/2026,Rational Numbers - Explore and Learn,1,,INSTRUCTIONAL_LESSON,EX_LE,Explore & Learn,34,-4,366,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3425793,19/01/2026,Compare and Order Integers - Explore and Learn,1,,INSTRUCTIONAL_LESSON,SL,Second Look,10,-2,477,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3402351,20/01/2026,The Coordinate Plane - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,32,-2,473,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3402201,20/01/2026,Graph Reflections of Points - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,26,-4,377,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3330594,21/01/2026,The Coordinate Plane - Explore and Learn,1,,INSTRUCTIONAL_LESSON,EX_LE,Explore & Learn,34,3,733,Above level
INSTRUCTIONAL_LESSON,CORE,FALSE,3330666,21/01/2026,The Coordinate Plane - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,900,-4,366,Below
INSTRUCTIONAL_LESSON,CORE,TRUE,3330792,22/01/2026,Compare and Order Integers - Explore and Learn,1,100,INSTRUCTIONAL_LESSON,SA,Assessment,36,-4,391,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3330792,22/01/2026,The Coordinate Plane - Explore and Learn,1,,INSTRUCTIONAL_LESSON,EX_LE,Explore & Learn,148,-4,391,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3392303,22/01/2026,The Coordinate Plane - Explore and Learn,1,,INSTRUCTIONAL_LESSON,EX_LE,Explore & Learn,61,-5,302,Below
INSTRUCTIONAL_LESSON,CORE,TRUE,3398871,22/01/2026,Rational Numbers - Explore and Learn,1,67,INSTRUCTIONAL_LESSON,SA,Assessment,192,-3,410,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3392135,23/01/2026,The Coordinate Plane - Explore and Learn,1,100,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,900,-2,529,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3330792,26/01/2026,Absolute Value and Distance - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,107,-4,391,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3330666,26/01/2026,Absolute Value and Distance - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,38,-4,366,Below
INSTRUCTIONAL_LESSON,CORE,TRUE,3402405,26/01/2026,Absolute Value and Distance - Explore and Learn,1,75,INSTRUCTIONAL_LESSON,SA,Assessment,306,-2,471,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3402255,26/01/2026,Absolute Value and Distance - Explore and Learn,1,,INSTRUCTIONAL_LESSON,SL,Second Look,6,-4,331,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3402201,27/01/2026,Powers and Exponents - Explore,1,,INSTRUCTIONAL_LESSON,Video,Video,12,-4,377,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3392303,27/01/2026,Powers and Exponents - Explore,1,,INSTRUCTIONAL_LESSON,DOK,Learn,71,-5,302,Below
INSTRUCTIONAL_LESSON,CORE,TRUE,3402351,27/01/2026,Powers and Exponents - Explore,1,100,INSTRUCTIONAL_LESSON,ET,Exit Ticket,173,-2,473,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3401127,27/01/2026,Rational Numbers - Explore and Learn,1,67,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,141,,,
INSTRUCTIONAL_LESSON,CORE,TRUE,3425793,01/02/2026,Rational Numbers - Explore and Learn,1,33,INSTRUCTIONAL_LESSON,SA,Assessment,184,-2,477,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3330666,01/02/2026,Graph Reflections of Points - Explore and Learn,1,,INSTRUCTIONAL_LESSON,EX_LE,Explore & Learn,145,-4,366,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3330864,02/02/2026,Powers and Exponents - Explore,1,,INSTRUCTIONAL_LESSON,Video,Video,20,-2,478,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3330684,02/02/2026,Numerical Expressions - Explore,1,,INSTRUCTIONAL_LESSON,Video,Video,40,,,
INSTRUCTIONAL_LESSON,CORE,FALSE,3392075,02/02/2026,Numerical Expressions - Explore,1,,INSTRUCTIONAL_LESSON,DOK,Learn,50,-4,323,Below
